Company Name,HeadQuarter,Sector,Amount($),Stage,Year Funded
Syncremedies Healthcare Pvt Ltd,Bangalore,Healthcare,1300000.0,Seed Stage ,2018
Blueleaf Cyberspace Systems,Bangalore,Technology,1300000.0,Seed Stage ,2018
Toffee,Gurgaon,Marketing,1500000.0,Seed Stage ,2018
ORO Wealth,Mumbai,Marketing,1600000.0,Series Stage ,2018
HealWell24,Mumbai,Healthcare,200000.0,Seed Stage ,2018
Acko General Insurance,Mumbai,Finance,12000000.0,Series Stage ,2018
arzooo.com,Bangalore,Marketing,219298.24561403506,Seed Stage ,2018
Bonphul Air Products,Delhi,Marketing,292397.6608187134,Others Stage ,2018
DheeYantra Research Labs,Bangalore,Technology,1300000.0,Seed Stage ,2018
Edyoo,Bengaluru,Education,1000000.0,Seed Stage ,2018
Chtrbox,Mumbai,Marketing,146198.8304093567,Others Stage ,2018
Aashiyaan Housing and Development Finance,Kolkata,Finance,1973684.2105263157,Seed Stage ,2018
BetterPlace Safety Solutions Pvt. Ltd.,Bangalore,Marketing,3000000.0,Series Stage ,2018
Cashkumar,Bengaluru,Finance,730994.1520467836,Seed Stage ,2018
Rocketium,Bangalore,Marketing,292397.6608187134,Seed Stage ,2018
FreightBazaar,Hyderabad,Transport,1300000.0,Seed Stage ,2018
OPEN,Bangalore,Finance,1300000.0,Seed Stage ,2018
mfine,Bengaluru,Healthcare,4200000.0,Series Stage ,2018
Earth Food,Pune,Marketing,935672.5146198829,Seed Stage ,2018
Charcoal Eats,Mumbai,Marketing,730994.1520467836,Seed Stage ,2018
Wishfie,Bangalore,Technology,1300000.0,Seed Stage ,2018
The Social Hook,Bengaluru,Marketing,1300000.0,Seed Stage ,2018
FreightBro,Mumbai,Technology,1300000.0,Seed Stage ,2018
Finwego,Chennai,Marketing,1300000.0,Seed Stage ,2018
Cricnwin,Gurgaon,Technology,1300000.0,Seed Stage ,2018
Wicked Ride Adventure Services Private Limited,Bangalore,Transport,10000000.0,Series Stage ,2018
Career Anna,Bangalore,Marketing,584795.3216374269,Seed Stage ,2018
ERUDITUS Executive Education,Mumbai,Education,40000000.0,Series Stage ,2018
Gaia Smart Cities,Mumbai,Technology,1300000.0,Seed Stage ,2018
Square Off,Mumbai,Technology,1100000.0,Seed Stage ,2018
UrbanClap,Delhi,Technology,50000000.0,Series Stage ,2018
Hospals,New Delhi,Healthcare,1500000.0,Seed Stage ,2018
Kogta Financial India Limited,Jaipur,Finance,22514619.883040935,Series Stage ,2018
Perspectico,New Delhi,Education,1300000.0,Seed Stage ,2018
The Souled Store,Mumbai,Marketing,3000000.0,Series Stage ,2018
Hush - Speak Up. Make Work Better,Bangalore,Technology,657894.7368421052,Seed Stage ,2018
Drivezy,Bengaluru,Transport,100000000.0,Debt Stage ,2018
Freyr Energy,Hyderabad,Marketing,1500000.0,Series Stage ,2018
NIRAMAI Health Analytix,Bangalore,Healthcare,6000000.0,Seed Stage ,2018
CloudSek,Bengaluru,Technology,2046783.625730994,Seed Stage ,2018
Lendbox,Delhi,Finance,877192.9824561402,Seed Stage ,2018
Verloop,Bangalore,Marketing,3000000.0,Series Stage ,2018
Flickstree,Mumbai,Marketing,1300000.0,Seed Stage ,2018
Paymatrix,Hyderabad,Finance,100000.0,Seed Stage ,2018
Idha Skin Clinic,Bangalore,Marketing,73099.41520467836,Seed Stage ,2018
InCred,Mumbai,Finance,41900000.0,Others Stage ,2018
Vedantu,Bangalore,Technology,11000000.0,Series Stage ,2018
Sportido,Noida,Entertainment,1300000.0,Seed Stage ,2018
Stelis Biopharma,Bangalore,Healthcare,100000000.0,Series Stage ,2018
Magicpin,Gurgaon,E-Commerce,20614035.087719295,Series Stage ,2018
Try & Buy,New Delhi,E-Commerce,1300000.0,Seed Stage ,2018
Mech Mocha,Bangalore,Technology,3530000.0,Series Stage ,2018
Aye Finance,Gurgaon,Finance,1052631.5789473683,Debt Stage ,2018
Aldopay,Chennai,Technology,200000.0,Seed Stage ,2018
Detect Technologies,Chennai,Technology,3300000.0,Series Stage ,2018
Signzy,Bangalore,Technology,3508771.929824561,Series Stage ,2018
CashRich,Mumbai,Technology,1000000.0,Seed Stage ,2018
Cloudnine Hospitals,Bangalore,Healthcare,1300000.0,Others Stage ,2018
CropIn Technologies,Bengaluru,Marketing,8479532.16374269,Series Stage ,2018
Billdesk,Ahmedabad,Finance,1300000.0,Series Stage ,2018
Yaantra,Delhi,Technology,2000000.0,Debt Stage ,2018
TECHBOOZE,New Delhi,Education,100000.0,Seed Stage ,2018
HealthifyMe,Bangalore,Technology,6000000.0,Series Stage ,2018
hoi foods,Gurgaon,Marketing,526315.7894736842,Seed Stage ,2018
Perpule,Bangalore,Technology,4970760.233918129,Series Stage ,2018
